Store	SF	Sales
1	83283	134918.46
2	60432	92460.96
3	49726	70113.66
5	80713	92012.82
6	42625	47313.75
8	6233	11780.37
9	32626	64599.48
11	36195	57550.05
12	84296	139088.40
13	67316	131266.20
14	71601	103105.44
16	39411	56751.84
18	45886	53686.62
19	70365	94992.75
20	59668	68021.52
21	43694	58986.90
22	50840	83886.00
23	23644	27663.48
25	50571	98613.45
26	71776	86131.20
27	45434	51794.76
28	27730	42426.90
30	93767	165967.59
31	81878	174400.14
32	56188	119680.44
34	7356	8385.84
35	14292	32157.00
36	13313	25161.57
37	21139	26635.14
39	56181	58990.05
40	92881	206195.82
41	33438	60188.40
43	28519	41922.93
44	67105	130854.75
45	52686	66384.36
46	26820	54712.80
47	62356	82309.92
48	73496	154341.60
50	32887	40451.01
